类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,测试
v1.0,,,,,,,,,,,,,,,
flash.accessibility.AccessibilityProperties,,,,,,,egret.AccessibilityProperties,,,,,,1,,
flash.accessibility.AccessibilityProperties,,,description,,,String,egret.AccessibilityProperties,,,,,,1,,
flash.accessibility.AccessibilityProperties,,,forceSimple,,,Boolean,egret.AccessibilityProperties,,,,,,1,,
flash.accessibility.AccessibilityProperties,,,name,,,String,egret.AccessibilityProperties,,,,,,1,,
flash.accessibility.AccessibilityProperties,,,noAutoLabeling,,,Boolean,egret.AccessibilityProperties,,,,,,1,,
flash.accessibility.AccessibilityProperties,,,shortcut,,,String,egret.AccessibilityProperties,,,,,,1,,
flash.accessibility.AccessibilityProperties,,,silent,,,Boolean,egret.AccessibilityProperties,,,,,,1,,
