类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,测试
v1.0,,,,,,,,,,,,,,,
flash.display.InteractiveObject,flash.display.DisplayObject,,,,,,as3.DisplayObject,,,,,,1,,
flash.display.InteractiveObject,,,contextMenu,,,flash.ui.ContextMenu,as3.DisplayObject,,,,,,0,,
flash.display.InteractiveObject,,,doubleClickEnabled,,,Boolean,as3.DisplayObject,,,,,,0,,
flash.display.InteractiveObject,,,focusRect,,,Object,as3.DisplayObject,,,,,,0,,
flash.display.InteractiveObject,,,mouseEnabled,,beginBitmapFill,Boolean,as3.DisplayObject,,,,,,0,,
flash.display.InteractiveObject,,,tabEnabled,,beginFill,Boolean,as3.DisplayObject,,,,,,0,,
flash.display.InteractiveObject,,,tabIndex,,beginGradientFill,int,as3.DisplayObject,,,,,,0,,
