类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,测试
v1.0,,,,,,,,,,,,,,,
flash.utils.Timer,flash.events.EventDispatcher,,,,,,as3.Timer,,,,,,1,,
flash.utils.Timer,,,currentCount ,1,,Number,as3.Timer,,,,,,1,,
flash.utils.Timer,,,delay,,,Number,as3.Timer,,,,,,1,,
flash.utils.Timer,,,repeatCount,,,Number,as3.Timer,,,,,,1,,
flash.utils.Timer,,,running,1,,Boolean,as3.Timer,,,,,,1,,
flash.utils.Timer,,,,,reset,void,as3.Timer,,,,,,1,,
flash.utils.Timer,,,,,start,void,as3.Timer,,,,,,1,,
flash.utils.Timer,,,,,stop,void,as3.Timer,,,,,,1,,
