类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,测试
v1.0,,,,,,,,,,,,,,,
flash.geom.Transform,,,,,,,as3.Transform,,,,,,1,,
flash.geom.Transform,,,colorTransform,,,flash.geom.ColorTransform,as3.Transform,,,,,,1,,
flash.geom.Transform,,,concatenatedColorTransform,1,,flash.geom.ColorTransform,as3.Transform,,,,,,1,,
flash.geom.Transform,,,concatenatedMatrix,1,,flash.geom.Matrix ,as3.Transform,,,,,,1,,
flash.geom.Transform,,,matrix,,,flash.geom.Matrix ,as3.Transform,,,,,,1,,
flash.geom.Transform,,,pixelBounds,1,,flash.geom.Rectangle,as3.Transform,,,,,,1,,
