类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,测试
v1.0,,,,,,,,,,,,,,,
flash.events.ProgressEvent,flash.events.Event,,,,,,as3.ProgressEvent,,,,,,1,,
flash.events.ProgressEvent,,,bytesLoaded,1,,uint,as3.ProgressEvent,,,,,,1,,
flash.events.ProgressEvent,,,bytesTotal,1,,uint,as3.ProgressEvent,,,,,,1,,
flash.events.ProgressEvent,,1,PROGRESS,,,String,as3.ProgressEvent,1,egret.ProgressEvent.PROGRESS,,,,1,,
flash.events.ProgressEvent,,1,SOCKET_DATA,,,String,as3.ProgressEvent,1,egret.ProgressEvent.SOCKET_DATA,,,,1,,
