类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,测试
v1.0,,,,,,,,,,,,,,,
flash.events.EventDispatcher,,,,,,,as3.EventDispatcher,,,,,,1,,
flash.events.EventDispatcher,,,,,addEventListener,void,as3.EventDispatcher,,,,,0 a1 a2 b2 a3 a4,1,,
flash.events.EventDispatcher,,,,,dispatchEvent,Boolean,as3.EventDispatcher,,,,,,1,,
flash.events.EventDispatcher,,,,,hasEventListener,Boolean,as3.EventDispatcher,,,,,,1,,
flash.events.EventDispatcher,,,,,removeEventListener,void,as3.EventDispatcher,,,,,0 a1 a2 b2,1,,
flash.events.EventDispatcher,,,,,willTrigger,Boolean,as3.EventDispatcher,,,,,,1,,
