类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,测试
v1.0,,,,,,,,,,,,,,,
flash.events.TimerEvent,flash.events.Event,,,,,,as3.TimerEvent,,,,,,1,,
flash.events.TimerEvent,,1,TIMER,,,String,as3.TimerEvent,1,egret.TimerEvent.TIMER,,,,1,,
flash.events.TimerEvent,,1,TIMER_COMPLETE,,,String,as3.TimerEvent,1,egret.TimerEvent.TIMER_COMPLETE,,,,1,,
flash.events.TimerEvent,,,,,updateAfterEvent,void,as3.TimerEvent,,,,,,1,,
flash.events.TimerEvent,,,,,toString,String,as3.TimerEvent,,,,,,0,,
flash.events.TimerEvent,,,,,clone,Event,as3.TimerEvent,,,,,,0,,
