类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,测试
v1.0,,,,,,,,,,,,,,,
flash.events.HTTPStatusEvent,flash.events.Event,,,,,,as3.HTTPStatusEvent,,,,,,1,,
flash.events.HTTPStatusEvent,,1,HTTP_STATUS,,,String,as3.HTTPStatusEvent,1,egret.HTTPStatusEvent.HTTP_STATUS,,,,1,,
flash.events.HTTPStatusEvent,,,,,updateAfterEvent,void,as3.HTTPStatusEvent,,,,,,1,,
flash.events.HTTPStatusEvent,,,,,toString,String,as3.HTTPStatusEvent,,,,,,0,,
flash.events.HTTPStatusEvent,,,,,clone,Event,as3.HTTPStatusEvent,,,,,,0,,
